"X","Y"
-58.1767,46.6182917343948
-58.1767,47.5862061063894
-57.3252292547771,47.572807115258
-56.2507987127806,47.6325450709874
-55.2912190415528,47.389562486351
-55.9974808416858,46.9197203639533
-55.4007730780116,46.8849938014531
-54.2404821437621,47.7522793646076
-53.9618686590605,47.6252070176019
-54.1789355129025,46.807065741557
-53.521456264853,46.6182917343948
-53.0691582912184,46.6554987656449
-52.6480987209042,47.5355484075755
-52.9586482407622,48.1571642116145
-53.0861339992263,48.6878036566036
-53.7860137599713,48.5167805039336
-53.4765494451914,49.249138902374
-54.4737753973438,49.5566911891591
-54.9351425848456,49.3130109726868
-55.822401089081,49.5871286077791
-55.471492275603,49.9358153346685
-56.1431050278843,50.1501174993829
-56.7958817205953,49.8123086614909
-56.1340358140171,50.6870097926793
-55.6002182684421,51.3170746933979
-55.4069742498866,51.5882726100657
-55.8709769354353,51.6320942246492
-56.738650071832,51.2874382594785
-57.3586897446861,50.7182740342159
-58.1767,49.4571953490466
-58.1767,51.1932982600621
-57.126920945857,51.4197040879296
-56.409161139539,51.770690416056
-55.6833914862158,52.1466364609794
-55.7563069321797,53.2703663193823
-56.1581170314651,53.6474750840323
-56.9368808661036,53.7803351914547
-57.3332132635662,54.6264850938018
-57.9750862290635,54.9454837103395
-58.1767,54.9781799544984
-58.1767,55.3383
-46.8567,55.3383
-46.8567,45.7817
-58.1767,45.7817
-58.1767,46.6182917343948
